No,f1,f2,a1,a2,X,Y,Z,K,M,N
333,0,0.5,-45,0,,,,,,
334,0,0.5,-45,45,,,,,,
335,0,0.5,-45,90,,,,,,
336,0,0.5,0,-90,,,,,,
337,0,0.5,0,-45,,,,,,
338,0,0.5,0,0,,,,,,
339,0,0.5,0,45,,,,,,
340,0,0.5,0,90,,,,,,
341,0,0.5,45,-90,,,,,,
342,0,0.5,45,-45,,,,,,
343,0,0.5,45,0,,,,,,
344,0,0.5,45,45,,,,,,
345,0,0.5,45,90,,,,,,
346,0,0.5,90,-90,,,,,,
347,0,0.5,90,-45,,,,,,
348,0,0.5,90,0,,,,,,
349,0,0.5,90,45,,,,,,
350,0,0.5,90,90,,,,,,
351,0,1,-90,-90,,,,,,
352,0,1,-90,-45,,,,,,
353,0,1,-90,0,,,,,,
354,0,1,-90,45,,,,,,
355,0,1,-90,90,,,,,,
356,0,1,-45,-90,,,,,,
357,0,1,-45,-45,,,,,,
